año,experiencia,modalidad,posicion,salario,moneda,salario_en_dolares,localidad,esquema,localidad_empresa,tamaño_empresa
2023,Senior,"Full Time","Cientifico de datos",80000,EUR,85847,ES,Remoto,ES,L
2023,"Semi Senior",Contractor,"Ingeniero de Machine Learning",30000,USD,30000,US,Remoto,US,S
2023,"Semi Senior",Contractor,"Ingeniero de Machine Learning",25500,USD,25500,US,Remoto,US,S
2023,Senior,"Full Time","Cientifico de datos",175000,USD,175000,CA,Remoto,CA,M
2023,Senior,"Full Time","Cientifico de datos",120000,USD,120000,CA,Remoto,CA,M
2023,Senior,"Full Time","Cientifico de datos",222200,USD,222200,US,Presencial,US,L
2023,Senior,"Full Time","Cientifico de datos",136000,USD,136000,US,Presencial,US,L
2023,Senior,"Full Time","Cientifico de datos",219000,USD,219000,CA,Presencial,CA,M
2023,Senior,"Full Time","Cientifico de datos",141000,USD,141000,CA,Presencial,CA,M
2023,Senior,"Full Time","Cientifico de datos",147100,USD,147100,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",90700,USD,90700,US,Presencial,US,M
2023,Senior,"Full Time","Analista de datos",130000,USD,130000,US,Remoto,US,M
2023,Senior,"Full Time","Analista de datos",100000,USD,100000,US,Remoto,US,M
2023,Junior,"Full Time","Cientifico de datos",213660,USD,213660,US,Presencial,US,L
2023,Junior,"Full Time","Cientifico de datos",130760,USD,130760,US,Presencial,US,L
2023,Senior,"Full Time","Modelador de datos",147100,USD,147100,US,Presencial,US,M
2023,Senior,"Full Time","Modelador de datos",90700,USD,90700,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",170000,USD,170000,US,Presencial,US,M
2023,Senior,"Full Time","Cientifico de datos",150000,USD,150000,US,Presencial,US,M
2023,"Semi Senior","Full Time","Analista de datos",150000,USD,150000,US,Remoto,US,M
2023,"Semi Senior","Full Time","Analista de datos",110000,USD,110000,US,Remoto,US,M
2023,Senior,"Full Time","Ingeniero de datos",275000,USD,275000,DE,Presencial,DE,M
2023,Senior,"Full Time","Ingeniero de datos",174000,USD,174000,DE,Presencial,DE,M
2023,Senior,"Full Time","Analista de datos",230000,USD,230000,GB,Remoto,GB,M
2023,Senior,"Full Time","Analista de datos",143200,USD,143200,GB,Remoto,GB,M
